control_id,dominio,nombre,descripcion_breve,mitigates_threats,lifecycle_phases,critico_para_riesgo,assur_paso6,categoria_validacion,herramienta_validacion
CTRL-PROMPT-06,Prompt & Input/Output Security,Secure Rendering of Agent Output in UIs,textContent en lugar de innerHTML. CSP HTTP headers. DOMPurify / sanitize-html.,T11|T15,design|runtime,-,ASSUR-02 (behavioral testing de rendering de output en UI),herramienta_tecnica,OWASP ZAP (XSS / stored injection en output del agente en UI)
CTRL-TOOL-01,Tool Execution & Operational Capabilities,Least Privilege per Tool,Perfiles de mínimo privilegio por herramienta (scopes / rate máximo / egress allowlists). Read-only en DBs.,T2|T3|T4,design|runtime,ASI02,ASSUR-01 | ASSUR-04 (escalación por herramientas + monitoreo de uso),herramienta_tecnica,Agentic Radar / AgentDojo (tool privilege escalation testing)
CTRL-TOOL-02,Tool Execution & Operational Capabilities,Mandatory Sandboxing for Tool and Code Execution,Sandboxes OS/container/VM/WASM. CPU/memoria/tiempo limitados. Reset automático tras cada ejecución.,T2|T3|T4|T11,design|runtime,ASI02|ASI05,ASSUR-01 | ASSUR-05 (sandbox escape + vulnerability scan),herramienta_tecnica,Agentic Radar (sandbox escape / container breakout testing)
CTRL-TOOL-03,Tool Execution & Operational Capabilities,Allow/Deny Lists for APIs and Network Destinations,Lista de URLs base permitidas. Proxy o API Gateway como punto de control de egress.,T2|T3|T6,design|runtime,ASI02,ASSUR-01 (SSRF / exfiltración via tool calls hacia destinos no autorizados),herramienta_tecnica,AgentDojo / OWASP ZAP (SSRF + network egress bypass)
CTRL-TOOL-04,Tool Execution & Operational Capabilities,Human-in-the-Loop (HITL) for High-Impact Tool Actions,Confirmación humana para acciones destructivas (delete/transfer/publish). Dry-run diff antes de aprobar.,T2|T3|T6|T10|T15,design|runtime,ASI01|ASI09,ASSUR-01 | ASSUR-03 (bypass de HITL + explainability de acciones críticas),herramienta_tecnica,AgentDojo (high-impact action simulation sin HITL gate)
CTRL-TOOL-05,Tool Execution & Operational Capabilities,Rate Limiting and Adaptive Tool Budgeting,Límites de uso (costo/rate/tokens) con revocación automática. Rate limiting por sesión de agente.,T2|T4,design|runtime,-,ASSUR-04 (monitoreo de frecuencia de invocaciones de herramientas),herramienta_tecnica,OWASP ZAP (rate limit bypass / tool flooding test)
CTRL-TOOL-06,Tool Execution & Operational Capabilities,Static Analysis on Agent-Generated Code,Bandit / Semgrep / CodeShield para código generado por LLM. Scan antes de ejecución.,T11|T17,design|runtime,ASI05,ASSUR-05 (vulnerability scanning de código generado por el agente),herramienta_tecnica,Semgrep / Bandit (static analysis en código generado por LLM)
CTRL-TOOL-07,Tool Execution & Operational Capabilities,Parameterized Queries and ORM for Database Access,Solo queries parametrizadas u ORM. Sin concatenación de strings en SQL. Bloquear DDL peligroso.,T2|T3,design|runtime,-,ASSUR-01 (SQL injection via tool calls de acceso a base de datos),herramienta_tecnica,OWASP ZAP (SQLi testing en herramientas de BD del agente)
CTRL-TOOL-08,Tool Execution & Operational Capabilities,URL Security and Web Browsing Controls,URL filtering con allow lists. SWG/DLP. Reputation checks. TLS verification. Content sanitization.,T2|T6|T11,design|runtime,-,ASSUR-01 (SSRF / malicious URL injection en browsing del agente),herramienta_tecnica,OWASP ZAP (URL filtering bypass / malicious redirect testing)
CTRL-INTERAGENT-01,Inter-Agent Communication Security,Mutual TLS (mTLS) for Inter-Agent Communication,mTLS para autenticación bidireccional entre agentes. Firma y verificación de todos los mensajes.,T9|T12|T14|T16,design|runtime,ASI07,ASSUR-04 (monitoreo de comunicación anómala entre agentes),herramienta_tecnica,testssl.sh (mTLS certificate y cipher validation entre agentes)
CTRL-INTERAGENT-02,Inter-Agent Communication Security,Policy Enforcement Points (PEPs) on Communication Channels,Checkpoints de seguridad en canales como middleware o service proxies que validan cada interacción.,T12|T14|T16,design|runtime,-,ASSUR-04 (monitoreo de bypass de PEPs en tráfico inter-agente),revision_configuracion,Agentic Radar (inter-agent communication policy analysis)
CTRL-INTERAGENT-03,Inter-Agent Communication Security,Zero Trust Architecture for Agent-to-Agent Trust,Never trust always verify entre agentes. Verificar cada request independiente del origen. NIST SP 800-207.,T9|T13|T14,design|runtime,ASI07,ASSUR-04 (detección de confianza implícita entre agentes en runtime),revision_configuracion,Agentic Radar (zero trust posture assessment en sistemas multi-agente)
CTRL-INTERAGENT-04,Inter-Agent Communication Security,Anti-Replay Protection (Nonces / Session IDs / Timestamps),Nonces + session IDs + timestamps atados a ventanas de tarea. Fingerprints para detectar replays cross-context.,T9|T12|T16,design|runtime,ASI07,ASSUR-04 (detección de replay attacks en runtime inter-agente),proceso_humano,Prueba manual de replay attack (re-enviar mensaje capturado con nonce expirado)
CTRL-INTERAGENT-05,Inter-Agent Communication Security,Typed Message Schemas with Version Enforcement,Schemas versionados con audiencias explícitas. Rechazar mensajes inválidos o down-conversion.,T12|T16,design|runtime,-,ASSUR-04 (monitoreo de mensajes malformados en canal inter-agente),revision_configuracion,promptfoo / prueba manual (schema downgrade + malformed message injection)
CTRL-INTERAGENT-06,Inter-Agent Communication Security,Attested Agent Registry and Cryptographic Agent Identity,Registros con attestation digital de identidad de agentes. Agent cards firmadas. PKI trusted root.,T9|T13|T14|T17,design|runtime,ASI10,ASSUR-04 (verificación de identidad de agentes en runtime),revision_configuracion,Agentic Radar / revisión manual del registry de agentes y firmas
CTRL-SC-01,Supply Chain Security,"SBOMs, AIBOMs, and Agent SBOMs with Attestation",Firmar y atestizar manifiestos. AIBOMs con attestations periódicas. Inventario de componentes AI.,T17,build|runtime,ASI04,ASSUR-05 (vulnerability scanning de dependencias del AIBOM),herramienta_tecnica,Trivy / OWASP Dependency Check (SBOM/AIBOM generation y validation)
CTRL-SC-02,Supply Chain Security,Dependency Allowlisting and Pinning by Content Hash,Allowlist y pin de dependencias por hash. Scan de typosquats en PyPI/npm/LangChain. Verificar procedencia.,T17|T2,build|runtime,ASI04,ASSUR-05 (scan de dependencias comprometidas o typosquats),herramienta_tecnica,Trivy / pip-audit / npm audit (dependency vulnerability scan)
CTRL-SC-03,Supply Chain Security,"Version Control for Prompts, Tools, and Orchestration Scripts",Prompts y scripts bajo control de versiones con peer review. Auto-rollback en hash drift. Staged rollout.,T17|T6,build|runtime,ASI04,ASSUR-05 (detección de drift en artefactos versionados),herramienta_tecnica,Semgrep + git audit (prompt change detection y anomaly scan)
CTRL-SC-04,Supply Chain Security,Supply Chain Kill Switch,Revocación de emergencia para deshabilitar herramientas o conexiones comprometidas en todos los despliegues.,T17|T13,build|runtime,-,ASSUR-05 (ejercicio de activación del mecanismo de revocación),proceso_humano,Simulación de incidente / tabletop exercise de kill switch
CTRL-MON-01,"Monitoring, Logging & Incident Response","Immutable Logs of All Agent Actions (Tool Calls, Memory Writes, Plans)",Logs de toda actividad con timestamp/agentID/sessionID/payload hash. Append-only + Merkle proofs.,T8|T2|T13,runtime,ASI01|ASI06|ASI09,ASSUR-04 (monitoreo continuo e integridad de logs en runtime),revision_configuracion,Verificación de integridad de log (tamper test + Merkle proof validation)
CTRL-MON-02,"Monitoring, Logging & Incident Response",Behavioral Baseline and Anomaly Detection,Baseline de comportamiento con ML-SIEM. Detección de propagación de comandos. Monitoreo de tool patterns.,T5|T6|T8|T13,runtime,ASI08,ASSUR-04 (runtime anomaly detection activo con baseline establecido),revision_configuracion,Langfuse / LangSmith (behavioral baseline + anomaly alerting)
CTRL-MON-03,"Monitoring, Logging & Incident Response",Tool Invocation Monitoring with Rate Limiting per Session,Log de todos los tool calls con parámetros y resultados. Rate limiting por sesión. Monitoreo de patrones sospechosos.,T2|T4,runtime,ASI02,ASSUR-04 (monitoreo de frecuencia y patrones de tool calls),revision_configuracion,Langfuse / LangSmith (tool invocation tracing y rate monitoring)
CTRL-MON-04,"Monitoring, Logging & Incident Response",Kill Switches and Emergency Agent Disablement,Kill switches para revocar acceso instantáneamente. Revocación rápida de credenciales de agentes rogue.,T13|T10,runtime,ASI08|ASI10,ASSUR-04 (verificación de tiempo de respuesta ante incidente de runtime),proceso_humano,Simulación de activación de kill switch (circuit breaker test)
CTRL-MON-05,"Monitoring, Logging & Incident Response",Incident Response Plan for AI Agent Security Incidents,Plan con definición de incidente agentico. Pasos de contención/análisis/remediación/reporte. Tests regulares.,T8|T6|T13,runtime,-,ASSUR-02 (behavioral testing para validar procedimientos del plan de respuesta),proceso_humano,Tabletop exercise (simulación de incidente de seguridad en sistema agentico)
CTRL-MON-06,"Monitoring, Logging & Incident Response",SIEM Integration and Centralized Observability,Integración SIEM para análisis centralizado. Langfuse/LangSmith. Trace IDs propagados por pasos del agente.,T8,runtime,-,ASSUR-04 (validación de correlación de eventos en pipeline de observabilidad),revision_configuracion,Test de alerta SIEM (inyectar evento conocido y verificar correlación y disparo de alerta)
CTRL-DEP-01,Secure Deployment & Runtime Hardening,Role Containerization or FaaS,Cada agente en ambiente aislado (Docker/K8s o AWS Lambda/GCF). Límites de recursos. Contextos efímeros.,T3|T11|T13,build|runtime,ASI05,ASSUR-05 (container security scanning),herramienta_tecnica,Trivy (container image vulnerability scan)
CTRL-DEP-02,Secure Deployment & Runtime Hardening,API/Agent Gateway for All Tool Invocations,Gateway que media todas las invocaciones con auth/authz. Rate limiting granular. Logging de interacciones.,T2|T3|T4|T16,build|runtime,-,ASSUR-01 | ASSUR-04 (bypass de gateway + monitoreo de tráfico de herramientas),herramienta_tecnica,OWASP ZAP (API security testing en el agent gateway)
CTRL-DEP-03,Secure Deployment & Runtime Hardening,Secure CI/CD with Vulnerability Scanning for Agent Logic,CI/CD con scan de dependencias. Static analysis de tool usage. Dynamic testing para prompt injection.,T17|T11,build|runtime,-,ASSUR-05 (integración de vulnerability scan en pipeline CI/CD),herramienta_tecnica,Semgrep / Checkov / OWASP Dependency Check (CI/CD pipeline security scan)
CTRL-DEP-04,Secure Deployment & Runtime Hardening,Managing Non-Human Identities with Lifecycle Controls,Machine identities con mismo rigor que identidades humanas. Provisioning y deprovisioning seguros.,T3|T9|T13,build|runtime,ASI03,ASSUR-01 (pruebas de gestión de credenciales de identidades no-humanas),revision_configuracion,AWS IAM Access Analyzer / Azure Managed Identity review
CTRL-DEP-05,Secure Deployment & Runtime Hardening,Human Oversight in High-Stakes Environments,HITL en decisiones críticas. HOTL para Finance/Healthcare/Education/Critical Infra. Trust adaptativo.,T6|T7|T10|T15,build|runtime,ASI09,ASSUR-03 (explainability audits para verificar nivel de supervisión humana),herramienta_tecnica,AgentDojo (verificar que acciones críticas disparan HITL o HOTL correctamente)
CTRL-DEP-06,Secure Deployment & Runtime Hardening,Behavioral Anomaly Alerting and Real-Time Override,Baseline de comportamiento normal. Alertas en desvíos. Atención a tool use no autorizado y goal shifts.,T6|T8|T13,runtime,ASI08|ASI10,ASSUR-04 (monitoreo continuo de comportamiento y alertas de desvío),revision_configuracion,Langfuse / LangSmith (behavioral drift detection + real-time alerting)
